Population	IID
Yoruba	HGDP00930
Yoruba	HGDP00931
Yoruba	HGDP00932
Yoruba	HGDP00933
Yoruba	HGDP00934
Yoruba	HGDP00935
Yoruba	HGDP00936
Yoruba	HGDP00937
Yoruba	HGDP00938
Yoruba	HGDP00939
Yoruba	HGDP00940
Yoruba	HGDP00941
Yoruba	HGDP00942
Yoruba	HGDP00943
Yakut	HGDP00945
Yakut	HGDP00946
Yakut	HGDP00947
Yakut	HGDP00948
Yakut	HGDP00949
Yakut	HGDP00950
Yakut	HGDP00951
Yakut	HGDP00952
Yakut	HGDP00954
Yakut	HGDP00955
Yakut	HGDP00956
Yakut	HGDP00957
Yakut	HGDP00958
Yakut	HGDP00959
Yakut	HGDP00960
Yakut	HGDP00961
Yakut	HGDP00962
Yakut	HGDP00963
Yakut	HGDP00964
Yakut	HGDP00966
Yakut	HGDP00967
Yakut	HGDP00968
Yakut	HGDP00969
Colombian	HGDP00970
Han	HGDP00971
Han	HGDP00972
Han	HGDP00973
Han	HGDP00974
Han	HGDP00975
Han	HGDP00976
Han	HGDP00977
MbutiPygmy	HGDP00982
MbutiPygmy	HGDP00984
BiakaPygmy	HGDP00985
BiakaPygmy	HGDP00986
San	HGDP00991
San	HGDP00992
BantuSouthAfrica	HGDP00993
BantuSouthAfrica	HGDP00994
Karitiana	HGDP00995
Karitiana	HGDP00998
Karitiana	HGDP00999
Karitiana	HGDP01001
Karitiana	HGDP01003
Karitiana	HGDP01006
Karitiana	HGDP01010
Karitiana	HGDP01012
Karitiana	HGDP01013
Karitiana	HGDP01014
Karitiana	HGDP01015
Karitiana	HGDP01018
Karitiana	HGDP01019
Han	HGDP01021
Han	HGDP01023
Melanesian	HGDP01027
BantuSouthAfrica	HGDP01028
San	HGDP01029
BantuSouthAfrica	HGDP01030
BantuSouthAfrica	HGDP01031
San	HGDP01032
BantuSouthAfrica	HGDP01033
BantuSouthAfrica	HGDP01034
BantuSouthAfrica	HGDP01035
San	HGDP01036
Pima	HGDP01037
Pima	HGDP01041
Pima	HGDP01043
Pima	HGDP01044
Pima	HGDP01047
Pima	HGDP01050
Pima	HGDP01051
Pima	HGDP01053
Pima	HGDP01055
Pima	HGDP01056
Pima	HGDP01057
Pima	HGDP01058
Pima	HGDP01059
Pima	HGDP01060
Sardinian	HGDP01062
Sardinian	HGDP01063
Sardinian	HGDP01064
Sardinian	HGDP01065
Sardinian	HGDP01066
Sardinian	HGDP01067
Sardinian	HGDP01068
Sardinian	HGDP01069
Sardinian	HGDP01071
Sardinian	HGDP01072
Sardinian	HGDP01073
Sardinian	HGDP01074
Sardinian	HGDP01075
Sardinian	HGDP01076
Sardinian	HGDP01077
Sardinian	HGDP01078
Sardinian	HGDP01079
MbutiPygmy	HGDP01081
BiakaPygmy	HGDP01086
BiakaPygmy	HGDP01090
BiakaPygmy	HGDP01094
Tujia	HGDP01095
Tujia	HGDP01096
Tujia	HGDP01097
Tujia	HGDP01098
Tujia	HGDP01099
Tujia	HGDP01100
Tujia	HGDP01101
Tujia	HGDP01102
Tujia	HGDP01103
Tujia	HGDP01104
Italian	HGDP01147
Italian	HGDP01152
Italian	HGDP01153
Italian	HGDP01155
Italian	HGDP01156
Italian	HGDP01157
Tuscan	HGDP01162
Tuscan	HGDP01163
Tuscan	HGDP01164
Tuscan	HGDP01166
Tuscan	HGDP01167
Tuscan	HGDP01168
Tuscan	HGDP01169
Italian	HGDP01171
Italian	HGDP01172
Italian	HGDP01173
Italian	HGDP01174
Italian	HGDP01177
Yi	HGDP01179
Yi	HGDP01180
Yi	HGDP01181
Yi	HGDP01182
Yi	HGDP01183
Yi	HGDP01184
Yi	HGDP01185
Yi	HGDP01186
Yi	HGDP01187
Yi	HGDP01188
Miao	HGDP01189
Miao	HGDP01190
Miao	HGDP01191
Miao	HGDP01192
Miao	HGDP01193
Miao	HGDP01194
Miao	HGDP01195
Miao	HGDP01196
Miao	HGDP01197
Miao	HGDP01198
Mandenka	HGDP01199
Mandenka	HGDP01200
Mandenka	HGDP01201
Mandenka	HGDP01202
Oroqen	HGDP01203
Oroqen	HGDP01204
Oroqen	HGDP01205
Oroqen	HGDP01206
Oroqen	HGDP01207
Oroqen	HGDP01208
Oroqen	HGDP01209
Oroqen	HGDP01211
Oroqen	HGDP01212
Daur	HGDP01213
Daur	HGDP01214
Daur	HGDP01215
Daur	HGDP01216
Daur	HGDP01217
Daur	HGDP01218
Daur	HGDP01220
Daur	HGDP01221
Daur	HGDP01222
Mongola	HGDP01223
Mongola	HGDP01224
Mongola	HGDP01225
Mongola	HGDP01226
Mongola	HGDP01227
Mongola	HGDP01228
Mongola	HGDP01229
Mongola	HGDP01230
Mongola	HGDP01231
Mongola	HGDP01232
Hezhen	HGDP01235
Hezhen	HGDP01234
Hezhen	HGDP01236
Hezhen	HGDP01237
Hezhen	HGDP01238
Hezhen	HGDP01239
Hezhen	HGDP01240
Hezhen	HGDP01241
Hezhen	HGDP01242
Xibo	HGDP01243
Xibo	HGDP01244
Xibo	HGDP01245
Xibo	HGDP01246
Xibo	HGDP01247
Xibo	HGDP01248
Xibo	HGDP01249
Xibo	HGDP01250
Xibo	HGDP01251
Mozabite	HGDP01253
Mozabite	HGDP01254
Mozabite	HGDP01255
Mozabite	HGDP01256
Mozabite	HGDP01257
Mozabite	HGDP01258
Mozabite	HGDP01259
Mozabite	HGDP01260
Mozabite	HGDP01261
Mozabite	HGDP01262
Mozabite	HGDP01263
Mozabite	HGDP01264
Mozabite	HGDP01265
Mozabite	HGDP01266
Mozabite	HGDP01267
Mozabite	HGDP01268
Mozabite	HGDP01269
Mozabite	HGDP01272
Mozabite	HGDP01273
Mozabite	HGDP01274
Mozabite	HGDP01275
Mozabite	HGDP01276
Mozabite	HGDP01277
Mozabite	HGDP01278
Mozabite	HGDP01279
Mozabite	HGDP01280
Mozabite	HGDP01282
Mandenka	HGDP01283
Mandenka	HGDP01284
Mandenka	HGDP01285
Mandenka	HGDP01286
Han-NChina	HGDP01287
Han-NChina	HGDP01288
Han-NChina	HGDP01289
Han-NChina	HGDP01290
Han-NChina	HGDP01291
Han-NChina	HGDP01292
Han-NChina	HGDP01293
Han-NChina	HGDP01294
Han-NChina	HGDP01295
Han-NChina	HGDP01296
Uygur	HGDP01297
Uygur	HGDP01298
Uygur	HGDP01299
Uygur	HGDP01300
Uygur	HGDP01301
Uygur	HGDP01302
Uygur	HGDP01303
Uygur	HGDP01304
Uygur	HGDP01305
Uygur	HGDP01306
Dai	HGDP01307
Dai	HGDP01308
Dai	HGDP01309
Dai	HGDP01310
Dai	HGDP01311
Dai	HGDP01312
Dai	HGDP01313
Dai	HGDP01314
Dai	HGDP01315
Dai	HGDP01316
Lahu	HGDP01317
Lahu	HGDP01318
Lahu	HGDP01320
Lahu	HGDP01321
Lahu	HGDP01322
Lahu	HGDP01323
Lahu	HGDP01326
She	HGDP01327
She	HGDP01328
She	HGDP01329
She	HGDP01331
She	HGDP01332
She	HGDP01333
She	HGDP01334
She	HGDP01335
She	HGDP01336
Naxi	HGDP01337
Naxi	HGDP01338
Naxi	HGDP01339
Naxi	HGDP01340
Naxi	HGDP01341
Naxi	HGDP01345
Naxi	HGDP01346
Tu	HGDP01347
Tu	HGDP01348
Tu	HGDP01349
Tu	HGDP01350
Tu	HGDP01351
Tu	HGDP01352
Tu	HGDP01353
Tu	HGDP01355
Tu	HGDP01356
Basque	HGDP01358
Basque	HGDP01359
Basque	HGDP01360
Basque	HGDP01361
Basque	HGDP01362
Basque	HGDP01363
Basque	HGDP01364
Basque	HGDP01366
Basque	HGDP01367
Basque	HGDP01368
Basque	HGDP01369
Basque	HGDP01370
Basque	HGDP01371
Basque	HGDP01372
Basque	HGDP01373
Basque	HGDP01374
Basque	HGDP01375
Basque	HGDP01377
Basque	HGDP01378
Basque	HGDP01379
Basque	HGDP01380
Adygei	HGDP01381
Adygei	HGDP01382
Adygei	HGDP01383
Adygei	HGDP01384
Adygei	HGDP01385
Adygei	HGDP01386
Adygei	HGDP01387
Adygei	HGDP01388
Adygei	HGDP01396
Adygei	HGDP01397
Adygei	HGDP01398
Adygei	HGDP01399
Adygei	HGDP01400
Adygei	HGDP01401
Adygei	HGDP01402
Adygei	HGDP01403
Adygei	HGDP01404
BantuKenya	HGDP01405
BantuKenya	HGDP01406
BantuKenya	HGDP01408
BantuKenya	HGDP01411
BantuKenya	HGDP01412
BantuKenya	HGDP01414
BantuKenya	HGDP01415
BantuKenya	HGDP01416
BantuKenya	HGDP01417
BantuKenya	HGDP01418
BantuKenya	HGDP01419
Han	HGDP01024
Italian	HGDP01151
She	HGDP01330
French	HGDP00528
Cambodian	HGDP00719
Japanese	HGDP00828
Yakut	HGDP00965
French	HGDP00516
Basque	HGDP01365
Japanese	HGDP00766
Tu	HGDP01354
Orcadian	HGDP00798
Naxi	HGDP01342
Lahu	HGDP01319
Basque	HGDP01357
Papuan	HGDP00549
Yakut	HGDP00953
Sardinian	HGDP01070
Basque	HGDP01376
Sardinian	HGDP00671
